country,Machiavellianism,Narcissism,Psychopathy
GB,5.0,2.6666666666666665,2.6666666666666665
CZ,3.4444444444444446,1.8888888888888888,3.3333333333333335
US,1.7777777777777777,2.2222222222222223,1.2222222222222223
US,4.666666666666667,2.888888888888889,2.7777777777777777
US,4.666666666666667,2.888888888888889,3.2222222222222223
GB,3.888888888888889,3.6666666666666665,3.3333333333333335
GB,2.5555555555555554,3.0,2.4444444444444446
US,2.3333333333333335,2.4444444444444446,1.7777777777777777
US,3.6666666666666665,2.6666666666666665,2.7777777777777777
US,2.6666666666666665,3.0,2.2222222222222223
A1,4.888888888888889,3.111111111111111,4.555555555555555
SE,2.888888888888889,2.888888888888889,2.4444444444444446
CH,4.444444444444445,2.7777777777777777,3.111111111111111
HU,3.7777777777777777,3.3333333333333335,3.5555555555555554
GB,3.0,3.3333333333333335,2.5555555555555554
SE,5.0,5.0,4.555555555555555
GB,3.6666666666666665,3.0,3.111111111111111
GB,3.4444444444444446,2.888888888888889,3.0
US,2.5555555555555554,3.111111111111111,1.3333333333333333
US,3.6666666666666665,2.7777777777777777,2.888888888888889
PT,4.555555555555555,3.6666666666666665,3.4444444444444446
US,4.333333333333333,2.3333333333333335,4.111111111111111
GB,4.111111111111111,3.2222222222222223,3.5555555555555554
US,4.666666666666667,2.4444444444444446,3.5555555555555554
US,4.111111111111111,3.111111111111111,3.2222222222222223
GB,4.222222222222222,4.111111111111111,4.555555555555555
US,2.5555555555555554,2.888888888888889,1.4444444444444444
GB,3.888888888888889,3.7777777777777777,2.7777777777777777
GB,2.111111111111111,2.6666666666666665,2.7777777777777777
US,3.2222222222222223,3.5555555555555554,1.8888888888888888
DE,3.5555555555555554,1.4444444444444444,1.8888888888888888
US,2.6666666666666665,2.4444444444444446,1.6666666666666667
GB,4.0,3.3333333333333335,3.111111111111111
ZA,4.666666666666667,3.3333333333333335,3.5555555555555554
GB,2.4444444444444446,3.111111111111111,1.3333333333333333
US,4.444444444444445,2.3333333333333335,3.3333333333333335
GB,2.5555555555555554,1.4444444444444444,1.3333333333333333
US,3.888888888888889,3.111111111111111,2.4444444444444446
US,3.888888888888889,3.888888888888889,2.6666666666666665
NG,2.6666666666666665,3.4444444444444446,1.1111111111111112
IE,4.0,2.0,2.4444444444444446
GB,3.111111111111111,2.888888888888889,1.8888888888888888
GB,4.555555555555555,3.5555555555555554,3.5555555555555554
GB,4.444444444444445,4.444444444444445,3.6666666666666665
GB,3.888888888888889,2.7777777777777777,3.4444444444444446
US,4.111111111111111,3.888888888888889,3.7777777777777777
CA,3.888888888888889,3.111111111111111,3.111111111111111
US,4.0,3.2222222222222223,3.0
GB,3.7777777777777777,3.4444444444444446,3.5555555555555554
US,2.7777777777777777,2.5555555555555554,1.3333333333333333
US,4.222222222222222,2.6666666666666665,3.111111111111111
GB,3.4444444444444446,2.111111111111111,3.111111111111111
US,2.5555555555555554,3.2222222222222223,2.75
ID,3.3333333333333335,3.5555555555555554,3.111111111111111
US,4.222222222222222,2.6666666666666665,3.3333333333333335
US,4.555555555555555,3.2222222222222223,2.888888888888889
